USER_ID,USER_LOAN_RANK,CREDIT_SCORE
17752,21,0.8571
17781,11,0.8278
18154,15,0.8812
18189,6,0.8277
18368,7,0.9061
18425,2,0.8269
18494,6,0.8818
18599,8,0.8742
18612,3,0.8858
18893,10,0.8617
19058,19,0.8774
19106,21,0.9023
19172,4,0.8595
19199,11,0.8678
19321,9,0.8783
19383,28,0.8407
19792,5,0.9213
20062,11,0.855
20163,5,0.8923
20266,1,0.6512
20524,19,0.8435
20752,2,0.8045
20920,7,0.831
20924,14,0.9068
21357,5,0.865
21525,6,0.8704
21855,15,0.8381
21917,3,0.8408
21997,7,0.8523
22114,5,0.8613
22163,4,0.8487
22276,4,0.8466
22287,5,0.8445
22328,14,0.7573
22457,1,0.5461
22574,11,0.8303
22709,3,0.895
22845,20,0.8453
22973,12,0.8491
23062,26,0.7678
23099,4,0.8987
23182,7,0.806
23286,14,0.9123
23303,5,0.9051
23447,36,0.8632
23588,20,0.8672
23748,8,0.8885
24092,3,0.8801
24167,2,0.8965
24195,2,0.8961
24226,21,0.8322
24566,2,0.8103
24644,4,0.8768
24645,5,0.826
24671,29,0.8454
24674,31,0.8293
24688,9,0.8744
24808,23,0.8339
24839,5,0.8934
25072,11,0.888
25200,3,0.8371
25583,6,0.7855
25813,7,0.8703
25889,8,0.7957
26364,3,0.8081
26392,6,0.881
26756,14,0.8998
26768,29,0.7528
26801,24,0.7576
26842,1,0.7328
27001,18,0.871
27141,29,0.7742
27311,11,0.8755
27431,10,0.8556
27480,29,0.7601
27561,21,0.8222
27636,3,0.8539
27833,40,0.6722
27883,11,0.7898
27924,5,0.8727
28015,19,0.8215
28442,5,0.9114
28547,4,0.817
28566,27,0.7613
28573,12,0.8955
28615,7,0.8556
28690,10,0.8645
28695,9,0.8108
28833,15,0.8071
28836,2,0.7963
29090,23,0.88
29213,4,0.8662
29286,4,0.8126
29336,7,0.8599
29764,27,0.8064
29785,6,0.8372
29949,4,0.8627
29991,1,0.5921
30020,27,0.8566
30205,11,0.6666
30539,21,0.8455
30545,7,0.8223
30947,4,0.8431
31091,12,0.8281
31101,16,0.8474
31231,16,0.6976
31469,25,0.7945
31509,4,0.8637
31522,2,0.8141
31545,6,0.918
31750,28,0.7937
31828,20,0.7181
31963,16,0.8752
32267,4,0.9144
32282,4,0.8941
32419,7,0.9034
32476,5,0.9031
32514,1,0.5627
32666,7,0.8184
32832,2,0.8189
33115,12,0.8435
33210,12,0.8522
33395,9,0.8338
33446,7,0.8843
33449,2,0.8042
33605,34,0.8692
33618,11,0.8928
33675,5,0.8913
33689,15,0.8621
33991,9,0.861
34180,27,0.7865
34183,32,0.7452
34403,9,0.8624
34502,8,0.9059
34651,20,0.8532
34714,13,0.8353
34724,9,0.8799
34806,21,0.8001
34830,2,0.71
34900,8,0.898
35200,4,0.893
35265,12,0.8824
35381,3,0.8203
35415,31,0.7111
35451,7,0.7801
35651,2,0.8215
35711,6,0.8289
35815,3,0.8547
35859,4,0.9154
35865,31,0.823
35874,25,0.8737
35990,1,0.6483
36224,6,0.8165
36273,1,0.6476
36845,4,0.8523
36889,20,0.8249
36891,24,0.7969
36918,17,0.8275
37109,12,0.8858
37598,16,0.8623
37728,12,0.8738
37826,16,0.857
37861,9,0.8814
37919,31,0.8354
38579,8,0.8326
38733,12,0.7999
38835,20,0.8746
38843,15,0.8396
38958,1,0.579
39133,3,0.8896
39437,4,0.8994
39723,3,0.8977
40119,11,0.88
40470,12,0.8664
40706,10,0.8658
40713,14,0.8241
40757,19,0.8338
40784,2,0.8625
40808,9,0.8986
41059,4,0.913
41127,11,0.9039
41421,12,0.8597
41469,11,0.8793
41842,6,0.799
41859,4,0.8548
41912,9,0.8442
41918,41,0.8853
41988,29,0.8296
42174,29,0.8097
42453,11,0.8551
42693,6,0.8816
42701,12,0.8697
42716,13,0.8877
42744,13,0.8607
42861,4,0.8765
42906,12,0.8591
43073,35,0.8066
43185,16,0.7667
43280,11,0.8568
43399,1,0.6199
43680,17,0.7842
43854,18,0.7927
43962,17,0.7342
44207,5,0.8686
44400,21,0.8797
44692,19,0.8757
44793,6,0.8057
44855,33,0.7315
44888,12,0.8676
45070,7,0.8989
45889,3,0.8969
46087,5,0.8212
46260,5,0.8773
46905,27,0.7122
46913,7,0.9206
46962,17,0.8873
46996,7,0.8276
47378,15,0.8765
47495,2,0.9005
47656,4,0.8716
47676,17,0.8376
47844,3,0.7407
47904,2,0.7778
48059,15,0.8577
48133,6,0.8823
48446,31,0.818
48584,12,0.9129
48594,7,0.8173
48823,9,0.9022
48965,4,0.8315
49155,4,0.9293
49226,1,0.7772
49321,16,0.8248
49659,14,0.8191
50080,12,0.8689
50099,3,0.8813
50184,20,0.8268
50256,15,0.8168
50630,7,0.8941
51020,4,0.829
51212,13,0.8874
51502,29,0.7259
51597,23,0.9088
51642,4,0.8735
51843,26,0.8685
51895,7,0.8649
51919,18,0.8203
51940,3,0.8651
52395,2,0.9263
52413,6,0.8643
52543,23,0.8487
53325,27,0.8075
53381,24,0.7897
53428,9,0.8018
54219,4,0.8699
54236,24,0.861
54307,13,0.8153
54457,19,0.7462
54462,7,0.9532
54728,9,0.8595
55042,27,0.773
55553,25,0.8518
55797,3,0.8336
56011,22,0.8814
56016,9,0.8727
56132,2,0.8858
56144,5,0.8719
56374,16,0.8861
56424,5,0.8867
56552,2,0.7939
56948,7,0.8759
57055,4,0.8735
57110,7,0.8747
57127,24,0.7251
57130,24,0.8441
57525,23,0.837
57967,19,0.8756
58021,22,0.8266
58027,33,0.829
58230,5,0.8196
58385,6,0.8787
58634,9,0.8773
58887,10,0.8996
59026,2,0.8256
59123,12,0.9308
59291,4,0.8655
59438,10,0.8869
59801,31,0.8914
59853,15,0.8119
59858,1,0.8272
59905,24,0.792
60602,19,0.8478
60862,1,0.6038
61203,1,0.7114
61414,4,0.8277
61449,8,0.8782
61616,3,0.8693
61882,4,0.8453
62383,11,0.8562
62446,22,0.8679
62485,27,0.8767
62494,4,0.8849
62763,2,0.8553
62787,1,0.6637
62797,18,0.855
62886,12,0.9066
62931,1,0.6462
62980,3,0.8807
63014,5,0.8261
63042,12,0.8967
63062,25,0.8547
63273,33,0.8541
63451,23,0.9019
63496,4,0.8645
63787,20,0.7809
64000,13,0.8642
64039,12,0.8753
64102,22,0.8456
64354,10,0.8933
64801,27,0.7489
65357,6,0.8952
65707,11,0.8274
65717,6,0.8764
65824,3,0.9104
65853,12,0.8505
66192,7,0.8843
66242,6,0.9223
66547,15,0.8782
66592,13,0.837
66682,30,0.8094
66707,27,0.8723
66780,19,0.8378
66872,3,0.8472
66879,22,0.8451
67125,2,0.8108
67681,8,0.8413
67729,1,0.7686
67769,5,0.8805
67782,1,0.6061
67889,2,0.7928
68009,21,0.8654
68059,8,0.8663
68123,7,0.8739
68194,8,0.9326
68718,5,0.825
68934,7,0.8963
69022,13,0.8366
69133,17,0.8402
69147,7,0.8391
69347,14,0.8696
69860,25,0.8243
70952,7,0.8626
71283,10,0.8605
71391,1,0.595
71696,8,0.8768
72001,7,0.9033
72038,16,0.8935
72146,21,0.8078
72211,11,0.8398
72355,12,0.8319
72467,23,0.8012
72629,21,0.8245
72890,9,0.8329
72981,23,0.7514
73095,2,0.8144
73101,5,0.8636
73254,12,0.8339
73329,4,0.8827
73408,27,0.8152
73735,17,0.8204
74141,2,0.8796
74482,2,0.9046
74767,18,
74980,4,0.8133
75011,2,0.8187
75372,20,0.7879
75446,5,0.8507
75498,21,0.8681
75544,8,0.815
75558,18,0.8564
75715,27,0.851
75797,6,0.8845
75874,1,0.566
76153,14,0.8583
76320,2,0.886
76387,13,0.8184
76400,26,0.7928
76490,27,0.7947
76492,3,0.8477
76716,21,0.8445
76731,13,0.824
76843,6,0.8525
76850,11,0.9002
77078,14,0.8779
77116,1,0.6054
77201,36,0.8898
77271,1,0.6688
77410,9,0.8252
77454,24,0.8426
77663,30,0.8178
77685,1,0.7933
77859,5,0.8392
77943,9,0.8501
78336,13,0.8207
78358,29,0.8578
78544,2,0.852
78574,15,0.8481
78656,9,0.829
79008,23,0.7894
79058,11,0.8221
79154,7,0.8717
79207,1,0.7601
79395,4,0.8702
79503,18,0.8082
79646,2,0.8878
79992,5,0.7996
79994,14,0.8742
80117,9,0.8881
80191,1,0.5323
80240,1,0.7283
80284,1,0.6637
80355,22,0.8755
80462,25,0.7822
80564,10,0.8214
80756,15,0.8458
80802,18,0.8625
80839,1,0.6699
81336,8,0.92
81394,1,0.5521
81538,14,0.8785
81552,18,0.8823
81891,4,0.891
81896,22,0.8618
82140,7,0.8509
82231,9,0.8791
82364,1,0.7186
82517,20,0.7625
82751,22,0.808
82891,14,0.8553
82898,9,0.864
82917,11,0.8312
82996,3,0.8258
83268,3,0.856
83470,6,0.8824
83630,12,0.8718
83799,12,0.8445
84057,5,0.8454
84410,17,0.8775
84614,11,0.8261
84635,10,0.8874
84667,4,0.8619
84779,5,0.8778
85115,11,0.8246
85289,3,0.9222
85628,23,0.9043
85699,15,0.8386
85841,13,0.8679
86184,34,0.803
86415,18,0.8241
86482,8,0.8983
86621,12,0.8922
87539,1,0.5084
87789,9,0.8852
88224,17,0.7909
88243,11,0.8364
