ID,LOAN_ID,USER_ID,CREATED_AT,AMOUNT_DISBURSED,AMOUNT_FEE,NUM_REPAYMENTS,DAYS_BTWN_REPAYMENTS,LOAN_TERM_DAYS,LOAN_STATUS,DISBURSED_AT,USER_LOAN_RANK,PAID_IN_FULL_AT,CREDIT_SCORE,AMOUNT_REPAID,LOAN_TENURE
27099,6363693,2797714,2018-11-06,2000,304,4,7,28,defaulted,2018-11-06 00:00:00,3,,0.8551,0,
27433,6003135,2797809,2018-05-26,4000,574,1,28,28,defaulted,26/05/18,3,,0.8751,0,
90730,4981003,2797945,2018-07-04,500,76,4,7,28,defaulted,2018-07-04 00:00:00,4,,0.8355,0,
90450,5346846,2798018,2018-04-25,1000,152,4,7,28,defaulted,25/04/18,7,,0.8593,50,
27966,5105703,2798234,2018-04-13,1000,152,4,7,28,defaulted,13/04/18,4,,0.9283,288,
40385,5266234,2798245,2018-04-21,500,76,4,7,28,defaulted,21/04/18,1,,0.6441,432,
27164,5763035,2798504,2018-05-14,3100,432,4,7,28,defaulted,14/05/18,3,,0.8624,200,
88650,5360575,2798634,2018-04-25,2000,304,4,7,28,defaulted,25/04/18,3,,0.8676,736,
63298,6677764,2799054,2018-06-26,5000,664,4,7,28,defaulted,26/06/18,6,,0.8999,0,
76683,5112752,2799165,2018-04-13,500,76,4,7,28,defaulted,13/04/18,1,,0.645,0,
15741,5830104,2799356,2018-05-17,5000,664,4,7,28,defaulted,17/05/18,4,,0.8432,0,
42770,6001667,2799506,2018-05-26,5000,664,4,7,28,defaulted,26/05/18,7,,0.8798,945,
31182,5053008,2799665,2018-10-04,2000,284,4,7,28,defaulted,2018-10-04 00:00:00,1,,0.6064,0,
